"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","ERA","playerid"
"Zack Greinke","Dodgers","8.08","1.62","5.00","0.57","23.7 %","4.7 %","19.0 %",".185","0.84",".229","86.5 %","44","72","83","1.66","2.76","-1.10","3.22","3.27","1.66","1943"
"Jake Arrieta","Cubs","9.28","1.89","4.92","0.39","27.1 %","5.5 %","21.6 %",".184","0.86",".246","80.0 %","45","60","68","1.77","2.35","-0.58","2.61","2.75","1.77","4153"
"Clayton Kershaw","Dodgers","11.64","1.62","7.17","0.58","33.8 %","4.7 %","29.1 %",".193","0.88",".281","78.3 %","57","52","54","2.13","1.99","0.14","2.09","2.24","2.13","2036"
"David Price","- - -","9.19","1.92","4.79","0.69","25.3 %","5.3 %","20.1 %",".227","1.08",".290","78.6 %","60","68","80","2.45","2.78","-0.32","3.24","3.27","2.45","3184"
"Dallas Keuchel","Astros","8.38","1.98","4.24","0.66","23.7 %","5.6 %","18.1 %",".216","1.02",".269","79.4 %","62","71","68","2.48","2.91","-0.43","2.75","2.84","2.48","9434"
"Jacob deGrom","Mets","9.66","1.79","5.39","0.75","27.3 %","5.1 %","22.2 %",".210","0.98",".271","78.0 %","69","70","75","2.54","2.70","-0.16","2.92","2.99","2.54","10954"
"Gerrit Cole","Pirates","8.74","1.90","4.59","0.48","24.3 %","5.3 %","19.0 %",".235","1.09",".304","74.9 %","69","70","82","2.60","2.66","-0.06","3.16","3.23","2.60","13125"
"Matt Harvey","Mets","8.94","1.76","5.08","0.86","24.9 %","4.9 %","20.0 %",".219","1.02",".272","78.7 %","73","79","84","2.71","3.05","-0.34","3.24","3.23","2.71","11713"
"Sonny Gray","Athletics","7.31","2.55","2.86","0.74","20.3 %","7.1 %","13.2 %",".216","1.08",".255","76.8 %","70","87","91","2.73","3.45","-0.73","3.69","3.80","2.73","12768"
"John Lackey","Cardinals","7.22","2.19","3.30","0.87","19.5 %","5.9 %","13.6 %",".251","1.21",".295","82.6 %","72","93","97","2.77","3.57","-0.80","3.77","3.90","2.77","1507"
"Max Scherzer","Nationals","10.86","1.34","8.12","1.06","30.7 %","3.8 %","26.9 %",".205","0.92",".268","79.6 %","71","72","74","2.79","2.77","0.03","2.88","2.63","2.79","3137"
"Madison Bumgarner","Giants","9.65","1.61","6.00","0.87","26.9 %","4.5 %","22.4 %",".220","1.01",".282","77.9 %","81","79","78","2.93","2.87","0.05","3.02","3.00","2.93","5524"
"Carlos Martinez","Cardinals","9.22","3.16","2.92","0.65","24.4 %","8.3 %","16.0 %",".246","1.29",".318","78.8 %","78","84","85","3.01","3.21","-0.21","3.28","3.44","3.01","11682"
"Shelby Miller","Braves","7.50","3.20","2.34","0.57","19.9 %","8.5 %","11.4 %",".234","1.25",".285","73.8 %","78","91","105","3.02","3.45","-0.42","4.07","4.16","3.02","10197"
"Lance Lynn","Cardinals","8.57","3.49","2.46","0.67","22.2 %","9.1 %","13.2 %",".254","1.37",".319","78.9 %","79","90","100","3.03","3.44","-0.41","3.90","4.00","3.03","2520"
"Scott Kazmir","- - -","7.62","2.90","2.63","0.98","20.3 %","7.7 %","12.6 %",".233","1.21",".273","75.7 %","78","98","102","3.10","3.98","-0.88","4.14","4.10","3.10","4897"
"Marco Estrada","Blue Jays","6.51","2.73","2.38","1.19","18.1 %","7.6 %","10.5 %",".202","1.04",".216","79.2 %","77","107","122","3.13","4.40","-1.27","4.93","4.64","3.13","1118"
"A.J. Burnett","Pirates","7.85","2.69","2.92","0.60","20.5 %","7.0 %","13.5 %",".272","1.36",".336","77.8 %","85","89","91","3.18","3.36","-0.18","3.55","3.65","3.18","512"
"Chris Archer","Rays","10.70","2.80","3.82","0.81","29.0 %","7.6 %","21.4 %",".219","1.14",".295","73.1 %","83","73","74","3.23","2.90","0.33","3.01","3.08","3.23","6345"
"Noah Syndergaard","Mets","9.96","1.86","5.35","1.14","27.5 %","5.1 %","22.4 %",".221","1.05",".279","75.0 %","88","84","75","3.24","3.25","-0.01","2.91","2.95","3.24","11762"
"Tyson Ross","Padres","9.73","3.86","2.52","0.41","25.8 %","10.2 %","15.6 %",".235","1.31",".320","74.0 %","88","78","81","3.26","2.98","0.28","3.15","3.35","3.26","7872"
"Jon Lester","Cubs","9.09","2.06","4.40","0.70","25.0 %","5.7 %","19.3 %",".236","1.12",".303","71.8 %","85","75","79","3.34","2.92","0.42","3.06","3.19","3.34","4930"
"Wei-Yin Chen","Orioles","7.20","1.93","3.73","1.32","19.3 %","5.2 %","14.1 %",".257","1.22",".290","80.5 %","81","99","99","3.34","4.16","-0.82","4.01","3.97","3.34","13071"
"Jake Odorizzi","Rays","7.97","2.44","3.26","0.96","21.4 %","6.6 %","14.9 %",".229","1.15",".271","77.0 %","87","91","98","3.35","3.61","-0.26","3.96","3.90","3.35","6397"
"Jose Quintana","White Sox","7.72","1.92","4.02","0.70","20.5 %","5.1 %","15.4 %",".269","1.27",".327","76.3 %","82","76","87","3.36","3.18","0.18","3.51","3.62","3.36","11423"
"Michael Wacha","Cardinals","7.59","2.88","2.64","0.94","20.1 %","7.6 %","12.5 %",".232","1.21",".272","76.2 %","88","101","100","3.37","3.87","-0.49","3.88","4.02","3.37","14078"
"Francisco Liriano","Pirates","9.88","3.38","2.93","0.72","26.5 %","9.1 %","17.5 %",".222","1.21",".293","74.2 %","90","84","81","3.38","3.19","0.19","3.16","3.38","3.38","3201"
"Chris Sale","White Sox","11.82","1.81","6.52","0.99","32.1 %","4.9 %","27.2 %",".232","1.09",".323","73.2 %","84","65","64","3.41","2.73","0.68","2.60","2.52","3.41","10603"
"Yovani Gallardo","Rangers","5.91","3.32","1.78","0.73","15.3 %","8.6 %","6.7 %",".267","1.42",".303","77.2 %","80","96","107","3.42","4.00","-0.58","4.31","4.59","3.42","8173"
"Johnny Cueto","- - -","7.47","1.95","3.83","0.89","20.3 %","5.3 %","15.0 %",".239","1.13",".281","73.7 %","85","88","96","3.44","3.53","-0.09","3.78","3.81","3.44","6893"
"Danny Salazar","Indians","9.49","2.58","3.68","1.12","25.8 %","7.0 %","18.8 %",".224","1.13",".278","74.5 %","87","89","86","3.45","3.62","-0.16","3.48","3.39","3.45","5867"
"Corey Kluber","Indians","9.93","1.82","5.44","0.89","27.7 %","5.1 %","22.6 %",".228","1.05",".297","71.4 %","87","73","75","3.49","2.97","0.51","3.05","2.98","3.49","2429"
"Masahiro Tanaka","Yankees","8.12","1.58","5.15","1.46","22.8 %","4.4 %","18.4 %",".217","0.99",".242","74.0 %","86","95","81","3.51","3.98","-0.48","3.29","3.36","3.51","15764"
"Felix Hernandez","Mariners","8.52","2.59","3.29","1.03","23.1 %","7.0 %","16.1 %",".237","1.18",".288","77.8 %","91","94","82","3.53","3.72","-0.19","3.33","3.38","3.53","4772"
"Edinson Volquez","Royals","6.96","3.23","2.15","0.72","18.2 %","8.5 %","9.8 %",".247","1.31",".290","73.1 %","87","96","105","3.55","3.82","-0.27","4.26","4.35","3.55","3990"
